0.03545,0.04914,0.03041,0.04013,0.03323,0.08933,0.00188,0.00027
0.02806,0.03608,0.02178,0.02347,0.02801,0.06376,0.00403,0.0017
0.01551,0.01088,0.03189,0.04955,0.00914,0.00803,0.02525,0.05587
0.00962,0.00382,0.03209,0.04463,0.01524,0.02702,0.0202,0.02074
0.03601,0.05476,0.03449,0.05525,0.00356,0.00111,0.03713,0.11222
0.02159,0.01914,0.02973,0.03915,0.02366,0.05151,0.00695,0.0036
0.01821,0.01564,0.03241,0.0552,0.01012,0.00877,0.02349,0.05982
0.0425,0.06931,0.00776,0.00243,0.01995,0.02944,0.02379,0.04391
0.04929,0.10425,0.0271,0.03537,0.0396,0.12894,0.01088,0.01043
0.04176,0.07056,0.01852,0.0156,0.02372,0.06014,0.01561,0.01416
0.02271,0.01977,0.0545,0.11083,0.01559,0.01921,0.04286,0.11747
0.05021,0.11847,0.02672,0.03925,0.04425,0.15923,0.00932,0.00928
0.01587,0.01059,0.04375,0.0826,0.02449,0.06281,0.02046,0.02527
0.01587,0.01206,0.03475,0.06274,0.02527,0.06252,0.0121,0.01417
0.0161,0.01067,0.05376,0.11762,0.03797,0.10543,0.01915,0.03025
0.04146,0.06705,0.00814,0.00288,0.02911,0.05592,0.01425,0.01901
0.0464,0.09141,0.00759,0.00257,0.01822,0.03083,0.03113,0.07044
0.00851,0.00312,0.03521,0.05478,0.01953,0.03715,0.01659,0.02029
0.02549,0.0293,0.02166,0.02382,0.00153,0.00026,0.02784,0.06065
0.05451,0.12129,0.02643,0.03126,0.04302,0.14196,0.01438,0.01653
0.03408,0.05037,0.02512,0.03219,0.03935,0.10009,0.00202,0.00049
0.03412,0.05083,0.03049,0.04455,0.03735,0.10462,0.00322,0.00104
0.04641,0.09122,0.00958,0.0044,0.03525,0.08242,0.01504,0.02384
0.04118,0.0716,0.00409,0.00078,0.02266,0.03804,0.01915,0.03548
0.0292,0.03705,0.01539,0.01103,0.0281,0.05322,0.00623,0.00423
0.01022,0.00445,0.04782,0.10107,0.0257,0.066,0.02523,0.04243
0.00968,0.00395,0.03502,0.0556,0.03048,0.0576,0.0114,0.01439
0.00439,0.00089,0.02689,0.03576,0.00819,0.00948,0.02953,0.04297
0.03058,0.04197,0.0377,0.0717,0.00837,0.00523,0.03031,0.09823
0.01919,0.01562,0.03187,0.04447,0.02521,0.05456,0.00762,0.00476
0.04662,0.08201,0.00669,0.00189,0.02077,0.03347,0.02592,0.05105
0.03612,0.05341,0.01875,0.01549,0.01969,0.04544,0.01538,0.01128
0.03062,0.04052,0.02884,0.04185,0.00274,0.00086,0.0381,0.09945
0.06065,0.1268,0.00766,0.00214,0.02162,0.04574,0.05163,0.09885
0.01376,0.00778,0.03554,0.05473,0.01012,0.01034,0.03155,0.06424
0.04731,0.10013,0.00545,0.00147,0.02166,0.04967,0.02743,0.05536
0.02935,0.03362,0.02838,0.03422,0.00082,5.00E-05,0.02769,0.06451
0.00619,0.00166,0.03675,0.06233,0.01878,0.03027,0.02027,0.03678
0.00692,0.00228,0.03175,0.05356,0.01127,0.01573,0.0259,0.05049
0.03234,0.04157,0.01376,0.00814,0.00986,0.00715,0.02148,0.04026
0.03591,0.04943,0.0189,0.01493,0.02741,0.05885,0.00788,0.00482
