2.55466122,2.64469288,2.86408938,2.96586292,1.4444714,1.70595317,1.53765907,1.55950736,1.56366818,1.60532759,1.57652968,1.51003443,2.94130134,2.72468368,2.78627619,2.89752642,2.77188211,2.67572797,2.79836293,2.89458689
2.79552402,2.53434849,2.91447693,3.1150379,1.58970986,1.55939434,1.62311455,1.50931793,1.5080127,1.59404698,1.45598323,1.6788935,2.82753961,2.83548199,2.76676194,2.75719453,2.72584451,2.80812935,2.80355577,2.86427178
2.48171005,2.70198412,3.04702997,2.80439122,1.53051607,1.45781136,1.58031633,1.70159697,1.53766209,1.56900209,1.49566776,1.66425114,2.77638257,2.67843946,2.83298649,2.7720033,2.72488447,2.80361433,2.98133116,2.96002575
2.74210505,2.52178385,2.8544093,2.91451287,1.59693935,1.48011212,1.62395133,1.55407825,1.48587975,1.59756598,1.4327274,1.75331016,2.91934835,2.65820365,2.80517979,2.6739802,2.70609379,2.92050849,2.73825751,3.05356875
2.76635063,2.73260429,2.99666765,2.99146452,1.45340042,1.65896537,1.55127764,1.60811558,1.57729312,1.56679654,1.61033279,1.5077591,2.69027347,2.68381779,2.6820364,2.80093207,2.83938449,2.71007342,2.89980199,2.93662337
2.68247409,2.65683821,2.79794874,3.12692944,1.49786598,1.52897164,1.6830984,1.56545532,1.46430529,1.6188174,1.52685047,1.6333056,2.75180126,2.93949707,2.87957561,2.6941662,2.74218507,2.72873804,2.85848168,2.80697056
2.76081766,2.7030706,2.96738641,2.93741304,1.419648,1.58028176,1.6916664,1.57637724,1.43343531,1.58267485,1.65803766,1.5934872,2.82147174,2.90863019,2.78877253,2.76741832,2.73512068,2.77492811,2.77559509,2.71111771
2.74706011,2.52974198,3.03163698,3.03107559,1.51106182,1.62803399,1.60158861,1.51003931,1.54037928,1.62479315,1.51717676,1.56071023,2.95387227,2.8951377,2.68087759,2.79363432,2.77775868,2.75689036,2.7039355,2.82726265
2.64110837,2.54103514,2.95560915,2.78800708,1.47488383,1.68394312,1.58258013,1.50979865,1.55546408,1.73809385,1.50448307,1.46820086,2.96563481,2.92913106,2.7395666,2.72867871,2.79972249,2.79550709,2.69541397,2.89312363
2.52233892,2.77189876,2.92748788,2.70585243,1.48392769,1.64968139,1.58769972,1.57795176,1.51139575,1.7169329,1.55727695,1.48302176,2.80522364,2.77209184,2.95741232,2.68982439,2.6509499,2.90260548,2.89111724,2.86612311
2.68411857,2.52548177,3.02130317,2.83885744,1.57837479,1.46828752,1.61347324,1.58474496,1.41758375,1.58399369,1.52686709,1.73456547,2.6913501,2.72625982,2.77161599,3.01249122,2.81368377,2.74404205,2.88421711,2.84508616
2.6458253,2.65827483,2.93748599,2.89466746,1.65483223,1.55321722,1.52895561,1.53806015,1.57176603,1.67227212,1.3844758,1.62941366,2.89146034,2.88681766,2.68374144,2.82710241,2.8757128,2.72354202,2.75099722,2.76988904
2.60029259,2.76306597,3.09105618,2.89510341,1.52313271,1.51691073,1.62307446,1.60811281,1.50716593,1.61079005,1.5317065,1.60909596,2.92732652,2.68936086,2.81035882,2.7909885,2.72657941,2.72689725,2.74280392,2.93407191
2.61700622,2.52748505,2.91420228,2.95622341,1.49573656,1.63026021,1.4180342,1.67355914,1.69500213,1.46062685,1.50082171,1.60528052,2.92415096,2.82892433,2.69483303,2.66706065,2.79145317,2.92751982,2.82375188,2.86875843
